Name,Category,Price (KES),Original Price (KES),Discount %,Stock,Description,Featured,Approved,Rating,Reviews,Image 1,Image 2,Image 3
QWEN 05A/80A,Toners,2500,2500,0,4,,No,Yes,0,0,,,
RAINBOW HP/CANON REFILL TONER,Toners,2400,2400,0,4,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755338533/adit_products/RAINBOW_HPCANON_REFILL_TONER.jpg,,
RAINBOW KYOCERA REFILL TONER,Toners,3700,3700,0,2,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755338533/adit_products/RAINBOW_HPCANON_REFILL_TONER.jpg,,
ROYAL 30A,Toners,3000,3000,0,0,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755180391/adit-products/HP_30A.webp,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175736/adit-products/PREMIUM_30A.jpg,
TK 1120,Toners,2400,2400,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755180398/adit-products/TK_5215.jpg
TK 1140,Toners,2800,2800,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755180398/adit-products/TK_5215.jpg
TK 1150,Toners,2700,2700,0,2,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755180398/adit-products/TK_5215.jpg
TK 410,Toners,4000,4000,0,0,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755180398/adit-products/TK_5215.jpg
TK 4105,Toners,4000,4000,0,2,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755180398/adit-products/TK_5215.jpg
TK 675,Toners,6500,6500,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755338537/adit_products/TK-675.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg
TK 7105,Toners,5800,5800,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755338540/adit_products/TK-7105.webp,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg
TK 7205,Toners,6300,6300,0,1,,No,Yes,0,0,https://res.cloudinary.com/dcywqtljq/image/upload/v1755338539/adit_products/TK-7205-.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175751/adit-products/TK_410.jpg,https://res.cloudinary.com/dcywqtljq/image/upload/v1755175746/adit-products/TK_4105.jpg
